unique_instrument_id,windcode,windcode_simp
CZCE|F|AP|2512,AP2512.CZC,AP512.CZC
CZCE|F|AP|2601,AP2601.CZC,AP601.CZC
CZCE|F|AP|2603,AP2603.CZC,AP603.CZC
CZCE|F|AP|2604,AP2604.CZC,AP604.CZC
CZCE|F|AP|2605,AP2605.CZC,AP605.CZC
CZCE|F|AP|2610,AP2610.CZC,AP610.CZC
CZCE|F|AP|2611,AP2611.CZC,AP611.CZC
CZCE|F|CF|2501,CF2501.CZC,CF501.CZC
CZCE|F|CF|2503,CF2503.CZC,CF503.CZC
CZCE|F|CF|2505,CF2505.CZC,CF505.CZC
CZCE|F|CF|2507,CF2507.CZC,CF507.CZC
CZCE|F|CF|2509,CF2509.CZC,CF509.CZC
CZCE|F|CF|2511,CF2511.CZC,CF511.CZC
CZCE|F|CF|2601,CF2601.CZC,CF601.CZC
CZCE|F|CF|2603,CF2603.CZC,CF603.CZC
CZCE|F|CF|2605,CF2605.CZC,CF605.CZC
CZCE|F|CF|2607,CF2607.CZC,CF607.CZC
CZCE|F|CF|2609,CF2609.CZC,CF609.CZC
CZCE|F|CF|2611,CF2611.CZC,CF611.CZC
CZCE|F|CJ|2501,CJ2501.CZC,CJ501.CZC
CZCE|F|CJ|2503,CJ2503.CZC,CJ503.CZC
CZCE|F|CJ|2505,CJ2505.CZC,CJ505.CZC
CZCE|F|CJ|2507,CJ2507.CZC,CJ507.CZC
CZCE|F|CJ|2509,CJ2509.CZC,CJ509.CZC
CZCE|F|CJ|2512,CJ2512.CZC,CJ512.CZC
CZCE|F|CJ|2601,CJ2601.CZC,CJ601.CZC
CZCE|F|CJ|2603,CJ2603.CZC,CJ603.CZC
CZCE|F|CJ|2605,CJ2605.CZC,CJ605.CZC
CZCE|F|CJ|2607,CJ2607.CZC,CJ607.CZC
CZCE|F|CJ|2609,CJ2609.CZC,CJ609.CZC
CZCE|F|CY|2501,CY2501.CZC,CY501.CZC
CZCE|F|CY|2502,CY2502.CZC,CY502.CZC
CZCE|F|CY|2503,CY2503.CZC,CY503.CZC
CZCE|F|CY|2504,CY2504.CZC,CY504.CZC
CZCE|F|CY|2505,CY2505.CZC,CY505.CZC
CZCE|F|CY|2506,CY2506.CZC,CY506.CZC
CZCE|F|CY|2507,CY2507.CZC,CY507.CZC
CZCE|F|CY|2508,CY2508.CZC,CY508.CZC
CZCE|F|CY|2509,CY2509.CZC,CY509.CZC
CZCE|F|CY|2510,CY2510.CZC,CY510.CZC
CZCE|F|CY|2511,CY2511.CZC,CY511.CZC
CZCE|F|CY|2512,CY2512.CZC,CY512.CZC
CZCE|F|CY|2601,CY2601.CZC,CY601.CZC
CZCE|F|CY|2602,CY2602.CZC,CY602.CZC
CZCE|F|CY|2603,CY2603.CZC,CY603.CZC
CZCE|F|CY|2604,CY2604.CZC,CY604.CZC
CZCE|F|CY|2605,CY2605.CZC,CY605.CZC
CZCE|F|CY|2606,CY2606.CZC,CY606.CZC
CZCE|F|CY|2607,CY2607.CZC,CY607.CZC
CZCE|F|CY|2608,CY2608.CZC,CY608.CZC
CZCE|F|CY|2609,CY2609.CZC,CY609.CZC
CZCE|F|CY|2610,CY2610.CZC,CY610.CZC
CZCE|F|CY|2611,CY2611.CZC,CY611.CZC
CZCE|F|FG|2501,FG2501.CZC,FG501.CZC
CZCE|F|FG|2502,FG2502.CZC,FG502.CZC
CZCE|F|FG|2503,FG2503.CZC,FG503.CZC
CZCE|F|FG|2504,FG2504.CZC,FG504.CZC
CZCE|F|FG|2505,FG2505.CZC,FG505.CZC
CZCE|F|FG|2506,FG2506.CZC,FG506.CZC
CZCE|F|FG|2507,FG2507.CZC,FG507.CZC
CZCE|F|FG|2508,FG2508.CZC,FG508.CZC
CZCE|F|FG|2509,FG2509.CZC,FG509.CZC
CZCE|F|FG|2510,FG2510.CZC,FG510.CZC
CZCE|F|FG|2511,FG2511.CZC,FG511.CZC
CZCE|F|FG|2512,FG2512.CZC,FG512.CZC
CZCE|F|FG|2601,FG2601.CZC,FG601.CZC
CZCE|F|FG|2602,FG2602.CZC,FG602.CZC
CZCE|F|FG|2603,FG2603.CZC,FG603.CZC
CZCE|F|FG|2604,FG2604.CZC,FG604.CZC
CZCE|F|FG|2605,FG2605.CZC,FG605.CZC
CZCE|F|FG|2606,FG2606.CZC,FG606.CZC
CZCE|F|FG|2607,FG2607.CZC,FG607.CZC
CZCE|F|FG|2608,FG2608.CZC,FG608.CZC
CZCE|F|FG|2609,FG2609.CZC,FG609.CZC
CZCE|F|FG|2610,FG2610.CZC,FG610.CZC
CZCE|F|FG|2611,FG2611.CZC,FG611.CZC
CZCE|F|JR|2501,JR2501.CZC,JR501.CZC
CZCE|F|JR|2503,JR2503.CZC,JR503.CZC
CZCE|F|JR|2505,JR2505.CZC,JR505.CZC
CZCE|F|JR|2507,JR2507.CZC,JR507.CZC
CZCE|F|JR|2509,JR2509.CZC,JR509.CZC
CZCE|F|JR|2511,JR2511.CZC,JR511.CZC
CZCE|F|JR|2601,JR2601.CZC,JR601.CZC
CZCE|F|JR|2603,JR2603.CZC,JR603.CZC
CZCE|F|JR|2605,JR2605.CZC,JR605.CZC
CZCE|F|JR|2607,JR2607.CZC,JR607.CZC
CZCE|F|JR|2609,JR2609.CZC,JR609.CZC
CZCE|F|JR|2611,JR2611.CZC,JR611.CZC
CZCE|F|LR|2501,LR2501.CZC,LR501.CZC
CZCE|F|LR|2503,LR2503.CZC,LR503.CZC
CZCE|F|LR|2505,LR2505.CZC,LR505.CZC
CZCE|F|LR|2507,LR2507.CZC,LR507.CZC
CZCE|F|LR|2509,LR2509.CZC,LR509.CZC
CZCE|F|LR|2511,LR2511.CZC,LR511.CZC
CZCE|F|LR|2601,LR2601.CZC,LR601.CZC
CZCE|F|MA|2501,MA2501.CZC,MA501.CZC
CZCE|F|MA|2502,MA2502.CZC,MA502.CZC
CZCE|F|MA|2503,MA2503.CZC,MA503.CZC
CZCE|F|MA|2504,MA2504.CZC,MA504.CZC
CZCE|F|MA|2505,MA2505.CZC,MA505.CZC
CZCE|F|MA|2506,MA2506.CZC,MA506.CZC
CZCE|F|MA|2507,MA2507.CZC,MA507.CZC
CZCE|F|MA|2508,MA2508.CZC,MA508.CZC
CZCE|F|MA|2509,MA2509.CZC,MA509.CZC
CZCE|F|MA|2510,MA2510.CZC,MA510.CZC
CZCE|F|MA|2511,MA2511.CZC,MA511.CZC
CZCE|F|MA|2512,MA2512.CZC,MA512.CZC
CZCE|F|MA|2601,MA2601.CZC,MA601.CZC
CZCE|F|MA|2602,MA2602.CZC,MA602.CZC
CZCE|F|MA|2603,MA2603.CZC,MA603.CZC
CZCE|F|MA|2604,MA2604.CZC,MA604.CZC
CZCE|F|MA|2605,MA2605.CZC,MA605.CZC
CZCE|F|MA|2606,MA2606.CZC,MA606.CZC
CZCE|F|MA|2607,MA2607.CZC,MA607.CZC
CZCE|F|MA|2608,MA2608.CZC,MA608.CZC
CZCE|F|MA|2609,MA2609.CZC,MA609.CZC
CZCE|F|MA|2610,MA2610.CZC,MA610.CZC
CZCE|F|MA|2611,MA2611.CZC,MA611.CZC
CZCE|F|OI|2501,OI2501.CZC,OI501.CZC
CZCE|F|OI|2503,OI2503.CZC,OI503.CZC
CZCE|F|OI|2505,OI2505.CZC,OI505.CZC
CZCE|F|OI|2507,OI2507.CZC,OI507.CZC
CZCE|F|OI|2509,OI2509.CZC,OI509.CZC
CZCE|F|OI|2511,OI2511.CZC,OI511.CZC
CZCE|F|OI|2601,OI2601.CZC,OI601.CZC
CZCE|F|OI|2603,OI2603.CZC,OI603.CZC
CZCE|F|OI|2605,OI2605.CZC,OI605.CZC
CZCE|F|OI|2607,OI2607.CZC,OI607.CZC
CZCE|F|OI|2609,OI2609.CZC,OI609.CZC
CZCE|F|OI|2611,OI2611.CZC,OI611.CZC
CZCE|F|PF|2501,PF2501.CZC,PF501.CZC
CZCE|F|PF|2502,PF2502.CZC,PF502.CZC
CZCE|F|PF|2503,PF2503.CZC,PF503.CZC
CZCE|F|PF|2504,PF2504.CZC,PF504.CZC
CZCE|F|PF|2505,PF2505.CZC,PF505.CZC
CZCE|F|PF|2506,PF2506.CZC,PF506.CZC
CZCE|F|PF|2507,PF2507.CZC,PF507.CZC
CZCE|F|PF|2508,PF2508.CZC,PF508.CZC
CZCE|F|PF|2509,PF2509.CZC,PF509.CZC
CZCE|F|PF|2510,PF2510.CZC,PF510.CZC
CZCE|F|PF|2511,PF2511.CZC,PF511.CZC
CZCE|F|PF|2512,PF2512.CZC,PF512.CZC
CZCE|F|PF|2601,PF2601.CZC,PF601.CZC
CZCE|F|PF|2602,PF2602.CZC,PF602.CZC
CZCE|F|PF|2603,PF2603.CZC,PF603.CZC
CZCE|F|PF|2604,PF2604.CZC,PF604.CZC
CZCE|F|PF|2605,PF2605.CZC,PF605.CZC
CZCE|F|PF|2606,PF2606.CZC,PF606.CZC
CZCE|F|PF|2607,PF2607.CZC,PF607.CZC
CZCE|F|PF|2608,PF2608.CZC,PF608.CZC
CZCE|F|PF|2609,PF2609.CZC,PF609.CZC
CZCE|F|PF|2610,PF2610.CZC,PF610.CZC
CZCE|F|PF|2611,PF2611.CZC,PF611.CZC
CZCE|F|PK|2501,PK2501.CZC,PK501.CZC
CZCE|F|PK|2503,PK2503.CZC,PK503.CZC
CZCE|F|PK|2504,PK2504.CZC,PK504.CZC
CZCE|F|PK|2505,PK2505.CZC,PK505.CZC
CZCE|F|PK|2510,PK2510.CZC,PK510.CZC
CZCE|F|PK|2511,PK2511.CZC,PK511.CZC
CZCE|F|PK|2512,PK2512.CZC,PK512.CZC
CZCE|F|PK|2601,PK2601.CZC,PK601.CZC
CZCE|F|PK|2603,PK2603.CZC,PK603.CZC
CZCE|F|PK|2604,PK2604.CZC,PK604.CZC
CZCE|F|PK|2605,PK2605.CZC,PK605.CZC
CZCE|F|PK|2610,PK2610.CZC,PK610.CZC
CZCE|F|PK|2611,PK2611.CZC,PK611.CZC
CZCE|F|PL|2601,PL2601.CZC,PL601.CZC
CZCE|F|PL|2602,PL2602.CZC,PL602.CZC
CZCE|F|PL|2603,PL2603.CZC,PL603.CZC
CZCE|F|PL|2604,PL2604.CZC,PL604.CZC
CZCE|F|PL|2605,PL2605.CZC,PL605.CZC
CZCE|F|PL|2606,PL2606.CZC,PL606.CZC
CZCE|F|PL|2607,PL2607.CZC,PL607.CZC
CZCE|F|PL|2608,PL2608.CZC,PL608.CZC
CZCE|F|PL|2609,PL2609.CZC,PL609.CZC
CZCE|F|PL|2610,PL2610.CZC,PL610.CZC
CZCE|F|PL|2611,PL2611.CZC,PL611.CZC
CZCE|F|PM|2501,PM2501.CZC,PM501.CZC
CZCE|F|PM|2503,PM2503.CZC,PM503.CZC
CZCE|F|PM|2505,PM2505.CZC,PM505.CZC
CZCE|F|PM|2507,PM2507.CZC,PM507.CZC
CZCE|F|PM|2509,PM2509.CZC,PM509.CZC
CZCE|F|PM|2511,PM2511.CZC,PM511.CZC
CZCE|F|PM|2601,PM2601.CZC,PM601.CZC
CZCE|F|PM|2603,PM2603.CZC,PM603.CZC
